keno számok kettesével: ;1;2; előfordulás ;495
keno számok kettesével: ;1;3; előfordulás ;460
keno számok kettesével: ;1;4; előfordulás ;439
keno számok kettesével: ;1;5; előfordulás ;466
keno számok kettesével: ;1;6; előfordulás ;430
keno számok kettesével: ;1;7; előfordulás ;471
keno számok kettesével: ;1;8; előfordulás ;450
keno számok kettesével: ;1;9; előfordulás ;436
keno számok kettesével: ;1;10; előfordulás ;450
keno számok kettesével: ;1;11; előfordulás ;415
keno számok kettesével: ;1;12; előfordulás ;418
keno számok kettesével: ;1;13; előfordulás ;482
keno számok kettesével: ;1;14; előfordulás ;448
keno számok kettesével: ;1;15; előfordulás ;418
keno számok kettesével: ;1;16; előfordulás ;425
keno számok kettesével: ;1;17; előfordulás ;445
keno számok kettesével: ;1;18; előfordulás ;466
keno számok kettesével: ;1;19; előfordulás ;437
keno számok kettesével: ;1;20; előfordulás ;431
keno számok kettesével: ;1;21; előfordulás ;396
keno számok kettesével: ;1;22; előfordulás ;412
keno számok kettesével: ;1;23; előfordulás ;445
keno számok kettesével: ;1;24; előfordulás ;431
keno számok kettesével: ;1;25; előfordulás ;459
keno számok kettesével: ;1;26; előfordulás ;453
keno számok kettesével: ;1;27; előfordulás ;482
keno számok kettesével: ;1;28; előfordulás ;477
keno számok kettesével: ;1;29; előfordulás ;442
keno számok kettesével: ;1;30; előfordulás ;421
keno számok kettesével: ;1;31; előfordulás ;425
keno számok kettesével: ;1;32; előfordulás ;450
keno számok kettesével: ;1;33; előfordulás ;444
keno számok kettesével: ;1;34; előfordulás ;431
keno számok kettesével: ;1;35; előfordulás ;459
keno számok kettesével: ;1;36; előfordulás ;464
keno számok kettesével: ;1;37; előfordulás ;427
keno számok kettesével: ;1;38; előfordulás ;472
keno számok kettesével: ;1;39; előfordulás ;404
keno számok kettesével: ;1;40; előfordulás ;419
keno számok kettesével: ;1;41; előfordulás ;440
keno számok kettesével: ;1;42; előfordulás ;439
keno számok kettesével: ;1;43; előfordulás ;462
keno számok kettesével: ;1;44; előfordulás ;459
keno számok kettesével: ;1;45; előfordulás ;480
keno számok kettesével: ;1;46; előfordulás ;437
keno számok kettesével: ;1;47; előfordulás ;425
keno számok kettesével: ;1;48; előfordulás ;441
keno számok kettesével: ;1;49; előfordulás ;439
keno számok kettesével: ;1;50; előfordulás ;449
keno számok kettesével: ;1;51; előfordulás ;462
keno számok kettesével: ;1;52; előfordulás ;421
keno számok kettesével: ;1;53; előfordulás ;452
keno számok kettesével: ;1;54; előfordulás ;440
keno számok kettesével: ;1;55; előfordulás ;398
keno számok kettesével: ;1;56; előfordulás ;459
keno számok kettesével: ;1;57; előfordulás ;474
keno számok kettesével: ;1;58; előfordulás ;415
keno számok kettesével: ;1;59; előfordulás ;466
keno számok kettesével: ;1;60; előfordulás ;421
keno számok kettesével: ;1;61; előfordulás ;460
keno számok kettesével: ;1;62; előfordulás ;457
keno számok kettesével: ;1;63; előfordulás ;454
keno számok kettesével: ;1;64; előfordulás ;444
keno számok kettesével: ;1;65; előfordulás ;443
keno számok kettesével: ;1;66; előfordulás ;437
keno számok kettesével: ;1;67; előfordulás ;489
keno számok kettesével: ;1;68; előfordulás ;450
keno számok kettesével: ;1;69; előfordulás ;431
keno számok kettesével: ;1;70; előfordulás ;452
keno számok kettesével: ;1;71; előfordulás ;442
keno számok kettesével: ;1;72; előfordulás ;437
keno számok kettesével: ;1;73; előfordulás ;452
keno számok kettesével: ;1;74; előfordulás ;458
keno számok kettesével: ;1;75; előfordulás ;404
keno számok kettesével: ;1;76; előfordulás ;419
keno számok kettesével: ;1;77; előfordulás ;448
keno számok kettesével: ;1;78; előfordulás ;418
keno számok kettesével: ;1;79; előfordulás ;456
keno számok kettesével: ;1;80; előfordulás ;449
keno számok kettesével: ;2;3; előfordulás ;489
keno számok kettesével: ;2;4; előfordulás ;450
keno számok kettesével: ;2;5; előfordulás ;406
keno számok kettesével: ;2;6; előfordulás ;418
keno számok kettesével: ;2;7; előfordulás ;427
keno számok kettesével: ;2;8; előfordulás ;437
keno számok kettesével: ;2;9; előfordulás ;419
keno számok kettesével: ;2;10; előfordulás ;454
keno számok kettesével: ;2;11; előfordulás ;457
keno számok kettesével: ;2;12; előfordulás ;434
keno számok kettesével: ;2;13; előfordulás ;442
keno számok kettesével: ;2;14; előfordulás ;440
keno számok kettesével: ;2;15; előfordulás ;456
keno számok kettesével: ;2;16; előfordulás ;386
keno számok kettesével: ;2;17; előfordulás ;445
keno számok kettesével: ;2;18; előfordulás ;407
keno számok kettesével: ;2;19; előfordulás ;431
keno számok kettesével: ;2;20; előfordulás ;434
keno számok kettesével: ;2;21; előfordulás ;419
keno számok kettesével: ;2;22; előfordulás ;430
keno számok kettesével: ;2;23; előfordulás ;430
keno számok kettesével: ;2;24; előfordulás ;395
keno számok kettesével: ;2;25; előfordulás ;441
keno számok kettesével: ;2;26; előfordulás ;444
keno számok kettesével: ;2;27; előfordulás ;454
keno számok kettesével: ;2;28; előfordulás ;444
keno számok kettesével: ;2;29; előfordulás ;439
keno számok kettesével: ;2;30; előfordulás ;409
keno számok kettesével: ;2;31; előfordulás ;425
keno számok kettesével: ;2;32; előfordulás ;428
keno számok kettesével: ;2;33; előfordulás ;465
keno számok kettesével: ;2;34; előfordulás ;440
keno számok kettesével: ;2;35; előfordulás ;446
keno számok kettesével: ;2;36; előfordulás ;453
keno számok kettesével: ;2;37; előfordulás ;378
keno számok kettesével: ;2;38; előfordulás ;465
keno számok kettesével: ;2;39; előfordulás ;412
keno számok kettesével: ;2;40; előfordulás ;411
keno számok kettesével: ;2;41; előfordulás ;426
keno számok kettesével: ;2;42; előfordulás ;459
keno számok kettesével: ;2;43; előfordulás ;441
keno számok kettesével: ;2;44; előfordulás ;428
keno számok kettesével: ;2;45; előfordulás ;426
keno számok kettesével: ;2;46; előfordulás ;464
keno számok kettesével: ;2;47; előfordulás ;455
keno számok kettesével: ;2;48; előfordulás ;426
keno számok kettesével: ;2;49; előfordulás ;465
keno számok kettesével: ;2;50; előfordulás ;460
keno számok kettesével: ;2;51; előfordulás ;415
keno számok kettesével: ;2;52; előfordulás ;414
keno számok kettesével: ;2;53; előfordulás ;435
keno számok kettesével: ;2;54; előfordulás ;437
keno számok kettesével: ;2;55; előfordulás ;395
keno számok kettesével: ;2;56; előfordulás ;432
keno számok kettesével: ;2;57; előfordulás ;450
keno számok kettesével: ;2;58; előfordulás ;412
keno számok kettesével: ;2;59; előfordulás ;473
keno számok kettesével: ;2;60; előfordulás ;421
keno számok kettesével: ;2;61; előfordulás ;438
keno számok kettesével: ;2;62; előfordulás ;450
keno számok kettesével: ;2;63; előfordulás ;441
keno számok kettesével: ;2;64; előfordulás ;406
keno számok kettesével: ;2;65; előfordulás ;406
keno számok kettesével: ;2;66; előfordulás ;441
keno számok kettesével: ;2;67; előfordulás ;459
keno számok kettesével: ;2;68; előfordulás ;402
keno számok kettesével: ;2;69; előfordulás ;406
keno számok kettesével: ;2;70; előfordulás ;426
keno számok kettesével: ;2;71; előfordulás ;413
keno számok kettesével: ;2;72; előfordulás ;437
keno számok kettesével: ;2;73; előfordulás ;423
keno számok kettesével: ;2;74; előfordulás ;447
keno számok kettesével: ;2;75; előfordulás ;442
keno számok kettesével: ;2;76; előfordulás ;443
keno számok kettesével: ;2;77; előfordulás ;424
keno számok kettesével: ;2;78; előfordulás ;432
keno számok kettesével: ;2;79; előfordulás ;435
keno számok kettesével: ;2;80; előfordulás ;416
keno számok kettesével: ;3;4; előfordulás ;457
keno számok kettesével: ;3;5; előfordulás ;441
keno számok kettesével: ;3;6; előfordulás ;434
keno számok kettesével: ;3;7; előfordulás ;429
keno számok kettesével: ;3;8; előfordulás ;471
keno számok kettesével: ;3;9; előfordulás ;392
keno számok kettesével: ;3;10; előfordulás ;429
keno számok kettesével: ;3;11; előfordulás ;459
keno számok kettesével: ;3;12; előfordulás ;447
keno számok kettesével: ;3;13; előfordulás ;461
keno számok kettesével: ;3;14; előfordulás ;454
keno számok kettesével: ;3;15; előfordulás ;449
keno számok kettesével: ;3;16; előfordulás ;459
keno számok kettesével: ;3;17; előfordulás ;441
keno számok kettesével: ;3;18; előfordulás ;438
keno számok kettesével: ;3;19; előfordulás ;427
keno számok kettesével: ;3;20; előfordulás ;424
keno számok kettesével: ;3;21; előfordulás ;440
keno számok kettesével: ;3;22; előfordulás ;440
keno számok kettesével: ;3;23; előfordulás ;435
keno számok kettesével: ;3;24; előfordulás ;433
keno számok kettesével: ;3;25; előfordulás ;461
keno számok kettesével: ;3;26; előfordulás ;462
keno számok kettesével: ;3;27; előfordulás ;452
keno számok kettesével: ;3;28; előfordulás ;454
keno számok kettesével: ;3;29; előfordulás ;441
keno számok kettesével: ;3;30; előfordulás ;419
keno számok kettesével: ;3;31; előfordulás ;461
keno számok kettesével: ;3;32; előfordulás ;431
keno számok kettesével: ;3;33; előfordulás ;445
keno számok kettesével: ;3;34; előfordulás ;420
keno számok kettesével: ;3;35; előfordulás ;452
keno számok kettesével: ;3;36; előfordulás ;427
keno számok kettesével: ;3;37; előfordulás ;431
keno számok kettesével: ;3;38; előfordulás ;443
keno számok kettesével: ;3;39; előfordulás ;435
keno számok kettesével: ;3;40; előfordulás ;443
keno számok kettesével: ;3;41; előfordulás ;461
keno számok kettesével: ;3;42; előfordulás ;469
keno számok kettesével: ;3;43; előfordulás ;443
keno számok kettesével: ;3;44; előfordulás ;436
keno számok kettesével: ;3;45; előfordulás ;465
