kenó számok hármasával: ;1;9;12; előfordulás ;86
kenó számok hármasával: ;1;9;13; előfordulás ;120
kenó számok hármasával: ;1;9;15; előfordulás ;78
kenó számok hármasával: ;1;9;24; előfordulás ;109
kenó számok hármasával: ;1;9;27; előfordulás ;113
kenó számok hármasával: ;1;9;30; előfordulás ;98
kenó számok hármasával: ;1;9;31; előfordulás ;94
kenó számok hármasával: ;1;9;32; előfordulás ;102
kenó számok hármasával: ;1;9;35; előfordulás ;105
kenó számok hármasával: ;1;9;42; előfordulás ;101
kenó számok hármasával: ;1;9;47; előfordulás ;84
kenó számok hármasával: ;1;9;58; előfordulás ;84
kenó számok hármasával: ;1;9;59; előfordulás ;102
kenó számok hármasával: ;1;9;60; előfordulás ;99
kenó számok hármasával: ;1;9;68; előfordulás ;104
kenó számok hármasával: ;1;9;73; előfordulás ;99
kenó számok hármasával: ;1;9;74; előfordulás ;103
kenó számok hármasával: ;1;9;80; előfordulás ;97
kenó számok hármasával: ;1;12;13; előfordulás ;108
kenó számok hármasával: ;1;12;15; előfordulás ;100
kenó számok hármasával: ;1;12;24; előfordulás ;102
kenó számok hármasával: ;1;12;27; előfordulás ;98
kenó számok hármasával: ;1;12;30; előfordulás ;91
kenó számok hármasával: ;1;12;31; előfordulás ;95
kenó számok hármasával: ;1;12;32; előfordulás ;101
